source,target,weight
ASGR,AINL,0.038462
ASGR,AIYR,0.038462
ASGR,ADLR,0.038462
ASGR,ASER,0.115385
ASGR,AIBR,0.076923
ASGR,ASIR,0.115385
ASGR,AIZR,0.038462
ASGR,AWCR,0.038462
ASHL,ADAL,0.029851
ASHL,ADFL,0.059701
ASHL,AVDR,0.059701
ASHL,AIAL,0.104478
ASHL,RMGL,0.014925
ASHL,ASHR,0.014925
ASHL,AVDL,0.029851
ASHL,RICL,0.029851
ASHL,AVAR,0.014925
ASHL,ADLL,0.044776
ASHL,AVHR,0.029851
ASHL,AIBL,0.074627
ASHL,RIR,0.044776
ASHL,AIZL,0.044776
ASHL,ASKL,0.119403
ASHL,HSNL,0.029851
ASHL,RIML,0.014925
ASHL,AVBL,0.089552
ASHL,AVAL,0.029851
ASHL,URXL,0.029851
ASHL,AVFL,0.014925
ASHL,RIAL,0.059701
ASHL,RIPL,0.014925
ASHR,ADAR,0.043478
ASHR,ASHL,0.014493
ASHR,AVDR,0.014493
ASHR,ADFR,0.028986
ASHR,AVDL,0.072464
ASHR,AIAR,0.15942
ASHR,RICR,0.028986
ASHR,RMGR,0.043478
ASHR,AVAR,0.101449
ASHR,AWBL,0.014493
ASHR,AVHL,0.028986
ASHR,AWAR,0.014493
ASHR,PVPR,0.014493
ASHR,ADLR,0.086957
ASHR,AFDR,0.028986
ASHR,AIBR,0.043478
ASHR,HSNL,0.014493
ASHR,AIZR,0.014493
ASHR,ASKR,0.014493
ASHR,HSNR,0.014493
ASHR,AVBR,0.043478
ASHR,AVER,0.057971
ASHR,PVCL,0.043478
ASHR,SMBVR,0.028986
ASHR,RIAR,0.028986
ASIL,ADFL,0.03125
ASIL,AIAL,0.09375
ASIL,AIYR,0.0625
ASIL,AWAR,0.0625
ASIL,AIBL,0.03125
ASIL,AINR,0.03125
ASIL,ASER,0.03125
ASIL,AIZL,0.03125
ASIL,ASGL,0.09375
ASIL,ASIR,0.03125
ASIL,ASKL,0.0625
ASIL,AWCL,0.0625
ASIL,AWCR,0.0625
ASIL,SAAVL,0.0625
ASIL,RIBL,0.03125
ASIL,AIYL,0.0625
ASIL,CEPVR,0.03125
ASIL,RMFL,0.03125
ASIL,RIAL,0.09375
ASIR,AIAL,0.076923
ASIR,ASHR,0.038462
ASIR,AIAR,0.192308
ASIR,AIYR,0.038462
ASIR,ASEL,0.076923
ASIR,AWAR,0.038462
ASIR,ADLR,0.038462
ASIR,ASER,0.038462
ASIR,AIBR,0.038462
ASIR,ASIL,0.038462
ASIR,AWCL,0.038462
ASIR,ASGR,0.230769
ASIR,AWCR,0.076923
ASIR,CEPVR,0.038462
ASJL,PVQL,0.517241
ASJL,AIAL,0.034483
ASJL,ALA,0.068966
ASJL,IL2L,0.034483
ASJL,ASKL,0.137931
ASJL,HSNL,0.034483
ASJL,ASKR,0.068966
ASJL,HSNR,0.034483
ASJL,ASJR,0.034483
ASJL,CEPDL,0.034483
ASJR,PVQR,0.681818
ASJR,AIMR,0.045455
ASJR,ASKR,0.181818
ASJR,HSNR,0.045455
ASJR,ASJL,0.045455
ASKL,ASHL,0.184211
ASKL,PVQL,0.131579
ASKL,AIAL,0.342105
ASKL,RMGL,0.026316
ASKL,AVHL,0.052632
ASKL,AIBL,0.078947
ASKL,ASER,0.052632
ASKL,AIML,0.052632
ASKL,HSNL,0.026316
ASKL,ASKR,0.026316
ASKL,ASJL,0.026316
ASKR,AIAL,0.023256
ASKR,ASHR,0.023256
ASKR,PVQR,0.093023
ASKR,AIAR,0.27907
ASKR,RMGR,0.023256
ASKR,ALA,0.046512
ASKR,AWAR,0.023256
ASKR,ADLR,0.093023
ASKR,AVHR,0.046512
ASKR,ASER,0.023256
ASKR,AIBR,0.116279
ASKR,ASKL,0.023256
ASKR,HSNL,0.046512
ASKR,AIMR,0.023256
ASKR,ASGR,0.023256
ASKR,HSNR,0.046512
ASKR,CEPVR,0.023256
ASKR,RIFR,0.023256
AUAL,ADFL,0.027027
AUAL,AVDR,0.027027
AUAL,AWBL,0.027027
AUAL,AINR,0.027027
AUAL,AIBR,0.027027
AUAL,AIZL,0.054054
AUAL,AWCL,0.027027
AUAL,RIBL,0.243243
AUAL,AUAR,0.027027
AUAL,AIYL,0.027027
AUAL,BAGR,0.054054
AUAL,DVA,0.054054
AUAL,AVAL,0.081081
AUAL,AVEL,0.081081
AUAL,URXL,0.027027
AUAL,RMDVL,0.054054
AUAL,RIAL,0.135135
AUAR,AINL,0.057143
AUAR,AVAR,0.028571
AUAR,AIYR,0.057143
AUAR,AWBR,0.028571
AUAR,AINR,0.028571
AUAR,AIZR,0.028571
AUAR,BAGL,0.028571
AUAR,RIBR,0.371429
AUAR,AUAL,0.028571
AUAR,AVER,0.114286
AUAR,URXR,0.057143
AUAR,RIAR,0.171429
AVAL,AVDR,0.023649
AVAL,PVPL,0.003378
AVAL,AVDL,0.013514
AVAL,RIMR,0.010135
AVAL,FLPL,0.003378
AVAL,AVAR,0.023649
AVAL,AVHL,0.003378
AVAL,PVPR,0.003378
AVAL,SDQR,0.003378
AVAL,AVBL,0.003378
AVAL,PVCR,0.037162
AVAL,AS01,0.010135
AVAL,VA03,0.010135
AVAL,AVBR,0.003378
AVAL,AVEL,0.010135
AVAL,AVER,0.003378
AVAL,PVCL,0.040541
AVAL,DA02,0.013514
AVAL,AS02,0.003378
AVAL,VA04,0.010135
AVAL,AS03,0.010135
AVAL,VA05,0.027027
AVAL,DA03,0.030405
AVAL,AS04,0.003378
AVAL,AS05,0.013514
AVAL,VA07,0.006757
AVAL,AS06,0.003378
AVAL,DA05,0.027027
AVAL,VA08,0.064189
AVAL,AS07,0.047297
AVAL,AS08,0.030405
AVAL,AS09,0.040541
AVAL,AS10,0.010135
AVAL,AS11,0.013514
AVAL,VA12,0.006757
AVAL,AVJL,0.006757
AVAL,DA01,0.013514
AVAL,DA04,0.033784
AVAL,DA06,0.070946
AVAL,DA07,0.013514
AVAL,DB06,0.013514
AVAL,LUAL,0.006757
AVAL,SABD,0.013514
AVAL,SABVR,0.003378
AVAL,URYDL,0.003378
AVAL,URYVR,0.003378
AVAL,VA01,0.013514
AVAL,VA02,0.016892
AVAL,VA06,0.033784
AVAL,VA09,0.027027
AVAL,VA10,0.02027
AVAL,VA11,0.023649
AVAL,VB09,0.016892
